year	step	length	number
2004	4	48	1
2004	4	56	7
2004	4	60	14
2004	4	64	41
2004	4	68	90
2004	4	72	137
2004	4	76	123
2004	4	80	143
2004	4	84	122
2004	4	88	108
2004	4	92	79
2004	4	96	55
2005	1	100	56
2005	1	104	47
2005	1	108	31
2005	1	112	19
2005	1	116	8
2005	1	120	3
2005	1	124	8
2005	1	128	2
2005	1	132	2
2005	1	136	2
2005	1	148	1
2005	1	152	1
2005	1	36	1
2005	1	44	2
2005	1	48	4
2005	1	52	15
2005	1	56	15
2005	1	60	21
2005	1	64	22
2005	1	68	32
2005	1	72	62
2005	1	76	97
2005	1	80	99
2005	1	84	104
2005	1	88	104
2005	1	92	80
2005	1	96	54
2005	2	100	42
2005	2	104	23
2005	2	108	26
2005	2	112	12
2005	2	116	8
2005	2	120	11
2005	2	124	4
2005	2	128	4
2005	2	132	2
2005	2	136	1
2005	2	140	1
2005	2	20	1
2005	2	40	1
2005	2	44	1
2005	2	48	3
2005	2	52	9
2005	2	56	17
2005	2	60	24
2005	2	64	32
2005	2	68	60
2005	2	72	95
2005	2	76	92
2005	2	80	102
2005	2	84	69
2005	2	88	73
2005	2	92	55
2005	2	96	39
2005	3	100	14
2005	3	104	12
2005	3	108	7
2005	3	112	7
2005	3	116	4
2005	3	120	2
2005	3	124	1
2005	3	128	2
2005	3	140	1
2005	3	48	1
2005	3	56	2
2005	3	60	6
2005	3	64	11
2005	3	68	9
2005	3	72	21
2005	3	76	25
2005	3	80	26
2005	3	84	22
2005	3	88	24
2005	3	92	21
2005	3	96	18
2005	4	100	20
2005	4	104	14
2005	4	108	11
2005	4	112	11
2005	4	116	4
2005	4	120	3
2005	4	124	1
2005	4	128	3
2005	4	140	1
2005	4	156	1
2005	4	40	1
2005	4	48	1
2005	4	52	5
2005	4	56	5
2005	4	60	6
2005	4	64	20
2005	4	68	29
2005	4	72	31
2005	4	76	44
2005	4	80	45
2005	4	84	55
2005	4	88	34
2005	4	92	24
2005	4	96	19
2006	1	100	25
2006	1	104	20
2006	1	108	19
2006	1	112	12
2006	1	116	6
2006	1	120	11
2006	1	124	7
2006	1	128	3
2006	1	132	4
2006	1	140	1
2006	1	156	2
2006	1	20	4
2006	1	44	1
2006	1	48	6
2006	1	52	10
2006	1	56	14
2006	1	60	17
2006	1	64	49
2006	1	68	70
2006	1	72	121
2006	1	76	126
2006	1	80	130
2006	1	84	110
2006	1	88	96
2006	1	92	58
2006	1	96	39
2006	2	100	49
2006	2	104	41
2006	2	108	45
2006	2	112	23
2006	2	116	8
2006	2	120	12
2006	2	124	4
2006	2	128	6
2006	2	132	7
2006	2	136	2
2006	2	144	2
2006	2	152	2
2006	2	40	3
2006	2	44	2
2006	2	48	16
2006	2	52	39
2006	2	56	64
2006	2	60	85
2006	2	64	97
2006	2	68	73
2006	2	72	89
2006	2	76	126
2006	2	80	159
2006	2	84	128
2006	2	88	120
2006	2	92	91
2006	2	96	74
2006	3	100	16
2006	3	104	14
2006	3	108	13
2006	3	112	4
2006	3	116	5
2006	3	120	8
2006	3	124	2
2006	3	128	3
2006	3	132	1
2006	3	140	2
2006	3	40	2
2006	3	44	5
2006	3	48	9
2006	3	52	6
2006	3	56	12
2006	3	60	16
2006	3	64	33
2006	3	68	33
2006	3	72	33
2006	3	76	41
2006	3	80	44
2006	3	84	42
2006	3	88	35
2006	3	92	29
2006	3	96	23
2006	4	100	22
2006	4	104	17
2006	4	108	6
2006	4	112	4
2006	4	116	6
2006	4	120	9
2006	4	124	4
2006	4	128	1
2006	4	132	2
2006	4	136	1
2006	4	144	1
2006	4	148	2
2006	4	32	1
2006	4	40	4
2006	4	44	25
2006	4	48	32
2006	4	52	36
2006	4	56	25
2006	4	60	29
2006	4	64	33
2006	4	68	39
2006	4	72	37
2006	4	76	30
2006	4	80	48
2006	4	84	61
2006	4	88	52
2006	4	92	42
2006	4	96	26
2007	1	100	53
2007	1	104	44
2007	1	108	17
2007	1	112	16
2007	1	116	16
2007	1	120	7
2007	1	124	4
2007	1	128	5
2007	1	132	5
2007	1	136	1
2007	1	140	5
2007	1	24	1
2007	1	44	3
2007	1	48	16
2007	1	52	42
2007	1	56	66
2007	1	60	78
2007	1	64	78
2007	1	68	109
2007	1	72	113
2007	1	76	142
2007	1	80	151
2007	1	84	191
2007	1	88	138
2007	1	92	135
2007	1	96	85
2007	2	100	31
2007	2	104	18
2007	2	108	13
2007	2	112	5
2007	2	116	7
2007	2	120	3
2007	2	124	1
2007	2	128	1
2007	2	132	1
2007	2	136	3
2007	2	140	5
2007	2	144	1
2007	2	152	1
2007	2	156	1
2007	2	36	1
2007	2	40	3
2007	2	44	10
2007	2	48	42
2007	2	52	71
2007	2	56	111
2007	2	60	113
2007	2	64	76
2007	2	68	79
2007	2	72	89
2007	2	76	94
2007	2	80	70
2007	2	84	68
2007	2	88	56
2007	2	92	46
2007	2	96	41
2007	3	100	44
2007	3	104	24
2007	3	108	27
2007	3	112	20
2007	3	116	11
2007	3	120	12
2007	3	124	5
2007	3	128	5
2007	3	132	5
2007	3	136	3
2007	3	140	1
2007	3	144	2
2007	3	44	1
2007	3	48	1
2007	3	52	2
2007	3	56	3
2007	3	60	9
2007	3	64	7
2007	3	68	19
2007	3	72	22
2007	3	76	42
2007	3	80	57
2007	3	84	53
2007	3	88	46
2007	3	92	62
2007	3	96	48
2007	4	100	17
2007	4	104	19
2007	4	108	17
2007	4	112	7
2007	4	116	5
2007	4	120	1
2007	4	124	1
2007	4	128	3
2007	4	132	2
2007	4	140	1
2007	4	36	3
2007	4	40	10
2007	4	44	21
2007	4	48	25
2007	4	52	13
2007	4	56	11
2007	4	60	18
2007	4	64	20
2007	4	68	21
2007	4	72	44
2007	4	76	45
2007	4	80	64
2007	4	84	51
2007	4	88	47
2007	4	92	45
2007	4	96	37
2008	1	100	30
2008	1	104	18
2008	1	108	11
2008	1	112	8
2008	1	116	2
2008	1	120	1
2008	1	124	1
2008	1	128	1
2008	1	36	1
2008	1	44	9
2008	1	48	12
2008	1	52	31
2008	1	56	50
2008	1	60	96
2008	1	64	128
2008	1	68	165
2008	1	72	194
2008	1	76	170
2008	1	80	150
2008	1	84	129
2008	1	88	95
2008	1	92	59
2008	1	96	35
2008	2	100	64
2008	2	104	37
2008	2	108	33
2008	2	112	13
2008	2	116	8
2008	2	120	5
2008	2	124	3
2008	2	128	1
2008	2	132	1
2008	2	136	2
2008	2	140	3
2008	2	144	3
2008	2	156	1
2008	2	36	1
2008	2	40	12
2008	2	44	27
2008	2	48	62
2008	2	52	96
2008	2	56	150
2008	2	60	159
2008	2	64	214
2008	2	68	230
2008	2	72	234
2008	2	76	189
2008	2	80	175
2008	2	84	146
2008	2	88	138
2008	2	92	86
2008	2	96	78
2008	3	100	17
2008	3	104	15
2008	3	108	12
2008	3	112	8
2008	3	116	7
2008	3	120	6
2008	3	128	3
2008	3	132	4
2008	3	140	1
2008	3	144	1
2008	3	148	2
2008	3	152	2
2008	3	156	4
2008	3	44	2
2008	3	48	3
2008	3	52	6
2008	3	56	3
2008	3	60	3
2008	3	64	14
2008	3	68	26
2008	3	72	36
2008	3	76	35
2008	3	80	55
2008	3	84	49
2008	3	88	40
2008	3	92	22
2008	3	96	25
2008	4	100	92
2008	4	104	61
2008	4	108	50
2008	4	112	44
2008	4	116	31
2008	4	120	15
2008	4	124	16
2008	4	128	9
